"<paladyn>#8056","4611686018478013482",1.37,1.12,1.56,1.67,5.72
"Alice ❤#9033","4611686018479632974",0.87,1,1.44,0.74,4.05
"ReapersStrike#0108","4611686018430991273",1.96,1.77,2.27,1.67,7.67
LiL__ChiLLa#5250","4611686018436855182",1.72,1.53,2.02,2.17,7.44
"Sierra#3605","4611686018460821429",0.58,0.73,0.91,0.49,2.71
"Mallux#5493","4611686018464710984",,,,,
